Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
T.J. Warren,SF,27,IND,4,4,29.3,6.8,12.8,.529,0.0,1.8,.000,6.8,11.0,.614,.529,2.0,2.5,.800,0.5,3.0,3.5,1.3,0.5,0.0,1.0,4.0,15.5
P.J. Washington,PF,22,CHO,21,21,29.0,4.4,10.1,.437,1.1,3.5,.329,3.3,6.7,.493,.493,2.2,3.0,.746,1.9,5.0,6.9,3.0,1.0,1.3,2.0,2.8,12.2
Yuta Watanabe,SF,26,TOR,15,0,12.6,1.2,3.1,.383,0.8,1.7,.462,0.4,1.4,.286,.511,0.5,0.5,1.000,0.9,2.4,3.3,0.4,0.5,0.7,0.5,1.1,3.7
Tremont Waters,PG,23,BOS,6,1,10.2,0.8,2.8,.294,0.5,1.3,.375,0.3,1.5,.222,.382,0.7,0.7,1.000,0.3,0.5,0.8,2.8,0.5,0.0,2.0,0.8,2.8
Paul Watson,SF,26,TOR,10,0,3.3,0.7,1.1,.636,0.6,0.9,.667,0.1,0.2,.500,.909,0.0,0.0,0,0.1,0.7,0.8,0.1,0.0,0.1,0.1,0.5,2.0
Quinndary Weatherspoon,SG,24,SAS,3,0,3.3,0.0,0.3,.000,0.0,0.0,0,0.0,0.3,.000,.000,0.7,0.7,1.000,0.0,0.3,0.3,1.0,0.3,0.0,1.3,0.3,0.7
Russell Westbrook,PG,32,WAS,12,12,34.0,7.7,18.7,.411,1.7,4.6,.364,6.0,14.1,.426,.455,3.6,5.3,.672,1.4,8.2,9.6,9.5,0.9,0.3,4.8,3.1,20.6
Coby White,PG,20,CHI,19,19,33.9,5.5,13.6,.407,2.3,6.3,.361,3.3,7.3,.446,.490,2.1,2.4,.867,0.4,4.4,4.8,5.7,0.4,0.1,2.7,2.5,15.4
Derrick White,SG,26,SAS,3,0,22.0,3.7,10.0,.367,1.7,5.0,.333,2.0,5.0,.400,.450,1.7,2.0,.833,0.0,1.3,1.3,2.3,0.7,1.3,1.3,2.0,10.7
Hassan Whiteside,C,31,SAC,13,0,14.1,3.0,5.2,.582,0.0,0.1,.000,3.0,5.1,.591,.582,1.5,2.8,.528,1.2,3.5,4.8,0.5,0.3,1.0,1.1,1.6,7.5
Andrew Wiggins,PF,25,GSW,21,21,31.7,6.8,14.5,.467,2.0,5.2,.385,4.8,9.3,.513,.536,2.2,3.3,.657,1.1,3.6,4.8,2.2,0.5,1.4,1.6,2.4,17.7
Grant Williams,PF,22,BOS,16,4,18.0,1.9,4.1,.455,0.9,2.0,.469,0.9,2.1,.441,.568,0.6,1.3,.500,1.2,1.9,3.1,0.7,0.4,0.4,0.9,2.9,5.3
Kenrich Williams,PF,26,OKC,19,0,12.6,1.4,3.1,.448,0.3,0.9,.333,1.1,2.1,.500,.500,0.4,0.5,.800,0.9,1.6,2.6,1.2,0.5,0.2,0.4,1.4,3.5
Lou Williams,PG,34,LAC,20,0,19.8,3.2,8.5,.379,0.9,2.4,.362,2.4,6.1,.385,.429,1.9,2.2,.860,0.4,1.7,2.0,3.1,0.7,0.1,1.1,1.0,9.1
Patrick Williams,PF,19,CHI,18,18,25.5,3.6,7.7,.460,0.9,2.3,.405,2.6,5.4,.485,.522,1.5,1.9,.794,0.9,2.8,3.7,1.1,0.7,0.6,1.5,2.3,9.6
Robert Williams,C,23,BOS,14,0,15.1,2.6,3.5,.735,0.0,0.1,.000,2.6,3.4,.750,.735,0.6,0.7,.900,2.3,3.6,5.9,0.7,0.9,1.4,1.2,1.6,5.8
Zion Williamson,PF,20,NOP,18,18,32.8,9.2,15.8,.581,0.2,0.6,.300,9.0,15.2,.591,.586,5.0,7.4,.677,2.8,4.7,7.6,2.3,1.1,0.7,2.7,2.5,23.5
D.J. Wilson,PF,24,MIL,8,0,10.1,1.6,3.8,.433,1.0,2.3,.444,0.6,1.5,.417,.567,0.1,0.3,.500,0.4,2.1,2.5,0.4,0.1,0.3,0.5,1.3,4.4
Dylan Windler,SF,24,CLE,8,0,16.1,1.8,3.4,.519,1.0,2.4,.421,0.8,1.0,.750,.667,0.5,0.5,1.000,0.3,2.0,2.3,0.6,0.9,0.3,0.9,1.1,5.0
Cassius Winston,PG,22,WAS,6,0,7.3,0.7,1.7,.400,0.5,1.2,.429,0.2,0.5,.333,.550,0.3,0.3,1.000,0.0,0.7,0.7,1.0,0.0,0.2,0.2,0.7,2.2
James Wiseman,C,19,GSW,20,16,21.0,4.9,9.8,.503,0.5,1.1,.409,4.5,8.7,.514,.526,1.9,3.1,.623,1.5,4.6,6.1,0.7,0.4,1.3,1.6,3.2,12.2
Christian Wood,C,25,HOU,15,15,32.5,9.3,16.7,.556,1.8,4.6,.391,7.5,12.1,.619,.610,2.9,4.3,.688,1.9,8.8,10.7,1.2,0.8,1.7,1.9,1.9,23.3
Robert Woodard,SF,21,SAC,6,0,2.8,1.0,1.8,.545,0.2,0.5,.333,0.8,1.3,.625,.591,0.0,0.3,.000,0.5,0.8,1.3,0.0,0.0,0.0,0.2,0.0,2.2
Delon Wright,SG,28,DET,21,16,27.3,3.1,7.6,.413,0.9,2.5,.340,2.3,5.1,.449,.469,1.8,2.2,.809,0.9,3.6,4.5,4.4,1.3,0.6,1.1,1.0,9.0
Thaddeus Young,PF,32,CHI,15,0,24.9,4.7,8.3,.565,0.3,1.2,.278,4.3,7.1,.613,.585,0.7,1.3,.500,2.1,3.3,5.4,4.4,1.1,0.4,1.9,2.8,10.3
Trae Young,PG,22,ATL,19,19,34.3,7.6,17.9,.422,2.3,6.2,.364,5.3,11.7,.453,.485,9.5,10.7,.887,0.8,3.3,4.2,9.0,0.7,0.2,4.2,2.1,26.9
Cody Zeller,C,28,CHO,8,5,24.0,3.9,8.1,.477,0.0,1.1,.000,3.9,7.0,.554,.477,1.5,2.1,.706,2.8,5.8,8.5,2.4,0.8,0.8,0.8,2.1,9.3
Ivica Zubac,C,23,LAC,22,1,18.8,2.8,4.1,.670,0.0,0.0,0,2.8,4.1,.670,.670,1.9,2.3,.840,2.0,3.8,5.9,1.0,0.4,0.8,1.0,2.5,7.5
