Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Khem Birch,C,28,ORL,22,0,22.2,2.6,5.2,.500,0.1,0.4,.222,2.5,4.8,.524,.509,1.8,2.3,.800,2.9,3.3,6.2,1.2,0.8,0.6,0.7,1.8,7.1
Goga Bitadze,C,21,IND,7,0,8.6,1.6,2.7,.579,0.0,0.6,.000,1.6,2.1,.733,.579,1.3,1.7,.750,0.4,1.1,1.6,0.3,0.3,0.9,0.4,1.4,4.4
Bismack Biyombo,C,28,CHO,19,16,24.8,2.7,5.2,.531,0.0,0.1,.000,2.7,5.1,.536,.531,1.0,2.2,.452,2.5,4.2,6.6,1.6,0.3,1.2,1.1,2.5,6.5
Nemanja Bjelica,PF,32,SAC,10,0,15.1,2.1,5.1,.412,0.5,2.1,.238,1.6,3.0,.533,.461,1.9,2.3,.826,1.0,2.6,3.6,1.9,0.0,0.2,1.2,2.0,6.6
Eric Bledsoe,SG,31,NOP,18,17,30.1,5.2,11.7,.441,2.2,5.7,.392,2.9,6.1,.486,.536,1.4,2.2,.641,0.6,3.1,3.7,3.7,0.8,0.3,2.1,1.7,13.9
Keljin Blevins,SF,25,POR,7,0,4.9,0.1,1.0,.143,0.0,0.4,.000,0.1,0.6,.250,.143,0.0,0.0,0,0.0,0.0,0.0,0.6,0.3,0.0,0.4,0.4,0.3
Bogdan Bogdanović,SG,28,ATL,9,2,23.7,3.3,8.7,.385,2.3,6.4,.362,1.0,2.2,.450,.519,0.9,1.0,.889,0.2,3.6,3.8,2.1,0.4,0.1,1.2,2.0,9.9
Bojan Bogdanović,SF,31,UTA,21,21,30.2,4.8,12.0,.398,2.8,6.9,.403,2.0,5.1,.393,.514,2.6,3.1,.831,0.5,3.0,3.5,2.0,0.4,0.0,1.4,1.7,14.9
Bol Bol,PF,21,DEN,10,2,5.6,0.6,1.5,.400,0.2,0.6,.333,0.4,0.9,.444,.467,0.0,0.0,0,0.0,0.7,0.7,0.2,0.0,0.4,0.5,0.7,1.4
Marques Bolden,C,22,CLE,6,0,4.8,0.2,0.5,.333,0.0,0.0,0,0.2,0.5,.333,.333,0.8,1.3,.625,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,1.2
Jordan Bone,PG,23,ORL,14,0,14.0,1.6,3.9,.426,0.7,2.3,.313,0.9,1.6,.591,.519,0.0,0.0,0,0.3,1.4,1.7,1.3,0.1,0.0,0.2,0.8,4.0
Isaac Bonga,SF,21,WAS,14,7,14.1,0.9,2.3,.406,0.6,1.4,.421,0.4,0.9,.385,.531,0.1,0.2,.667,0.6,1.9,2.5,0.6,0.3,0.3,0.4,1.7,2.6
Devin Booker,SG,24,PHO,15,15,35.4,8.3,17.5,.473,2.2,6.2,.355,6.1,11.3,.538,.536,4.2,5.1,.829,0.2,3.1,3.3,3.9,1.1,0.4,4.0,3.3,22.9
Chris Boucher,C,28,TOR,21,0,22.2,4.6,8.7,.527,1.6,3.6,.440,3.0,5.1,.589,.618,2.3,2.9,.787,1.9,4.2,6.1,1.0,0.5,2.0,0.7,2.5,13.0
Brian Bowen,SF,22,IND,1,0,5.0,1.0,2.0,.500,0.0,0.0,0,1.0,2.0,.500,.500,1.0,1.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
